Date,Close
5/11/2018,1627.8
5/12/2018,1642.81
5/13/2018,1755.49
5/14/2018,1754.91
5/15/2018,1712.43
5/16/2018,1636.85
5/17/2018,1631.17
5/18/2018,1599.01
5/19/2018,1619.44
5/20/2018,1593.41
5/21/2018,1512.29
5/22/2018,1495.46
5/23/2018,1516.73
5/24/2018,1502.06
5/25/2018,1581.33
5/26/2018,1581.42
5/27/2018,1677.75
5/28/2018,1673.57
5/29/2018,1690.17
5/30/2018,1772.36
5/31/2018,1668.4
6/1/2018,1699.19
6/2/2018,1629.13
6/3/2018,1641.03
6/4/2018,1643.24
6/5/2018,1663.54
6/6/2018,1658.38
6/7/2018,1591.91
6/8/2018,1520.91
6/9/2018,1551.48
6/10/2018,1495.08
6/11/2018,1460.83
6/12/2018,1377.45
6/13/2018,1343.96
6/14/2018,1470.9
6/15/2018,1461.64
6/16/2018,1478.02
6/17/2018,1501.97
6/18/2018,1539.13
6/19/2018,1500.28
6/20/2018,1575.39
6/21/2018,1629.51
6/22/2018,1656.58
6/23/2018,1659.42
6/24/2018,1656.22
6/25/2018,1640.56
6/26/2018,1617.21
6/27/2018,1674.56
6/28/2018,1683.78
6/29/2018,1693.22
6/30/2018,1696.2
7/1/2018,1632.17
7/2/2018,1640.02
7/3/2018,1654.93
7/4/2018,1670.57
7/5/2018,1637.89
7/6/2018,1593.88
7/7/2018,1670.43
7/8/2018,1718.73
7/9/2018,1626.23
7/10/2018,1633.31
7/11/2018,1658.81
7/12/2018,1640.26
7/13/2018,1614.37
7/14/2018,1588.22
7/15/2018,1591
7/16/2018,1638.01
7/17/2018,1640
7/18/2018,1622.65
7/19/2018,1607.95
7/20/2018,1627.58
7/21/2018,1622.1
7/22/2018,1619.44
7/23/2018,1631.56
7/24/2018,1633
7/25/2018,1636.4
7/26/2018,1641.09
7/27/2018,1639.83
7/28/2018,1671.73
7/29/2018,1696.17
7/30/2018,1692.43
7/31/2018,1668.95
8/1/2018,1625.95
8/2/2018,1620.8
8/3/2018,1670.62
8/4/2018,1673.1
8/5/2018,1690.81
8/6/2018,1686.22
8/7/2018,1712.36
8/8/2018,1742.15
8/9/2018,1761.85
8/10/2018,1797.27
8/11/2018,1819.26
8/12/2018,1764.77
8/13/2018,1774.26
8/14/2018,1783.76
8/15/2018,1765.7
8/16/2018,1773.42
8/17/2018,1780.75
8/18/2018,1814.19
8/19/2018,1813.98
8/20/2018,1820.7
8/21/2018,1818.86
8/22/2018,1837.28
8/23/2018,1849.86
8/24/2018,1835.84
8/25/2018,1847.33
8/26/2018,1844.07
8/27/2018,1843.06
8/28/2018,1844.87
8/29/2018,1863.04
8/30/2018,1864.82
8/31/2018,1861.69
9/1/2018,1887.31
9/2/2018,1923.77
9/3/2018,1901.75
9/4/2018,1902.25
9/5/2018,1950.63
9/6/2018,1938.43
9/7/2018,1926.52
9/8/2018,1911.52
9/9/2018,1900.82
9/10/2018,1962.46
9/11/2018,1950.55
9/12/2018,1921
9/13/2018,1917.77
9/14/2018,1899.87
9/15/2018,1889.98
9/16/2018,1822.68
9/17/2018,1840.12
9/18/2018,1871.15
9/19/2018,1907.57
9/20/2018,1869
9/21/2018,1858.97
9/22/2018,1857.52
9/23/2018,1859.68
9/24/2018,1815.48
9/25/2018,1823.28
9/26/2018,1836.43
9/27/2018,1819.19
9/28/2018,1816.32
9/29/2018,1775.07
9/30/2018,1692.69
10/1/2018,1729.56
10/2/2018,1738.5
10/3/2018,1754.36
10/4/2018,1804.03
10/5/2018,1860.63
10/6/2018,1863.7
10/7/2018,1855.32
10/8/2018,1870.3
10/9/2018,1869.67
10/10/2018,1886.03
10/11/2018,1901.37
10/12/2018,1908.79
10/13/2018,1918.19
10/14/2018,1911.3
10/15/2018,1913.9
10/16/2018,1878.27
10/17/2018,1897.83
10/18/2018,1904.28
10/19/2018,1893.63
10/20/2018,1922.19
10/21/2018,1934.31
10/22/2018,1939
10/23/2018,1942.91
10/24/2018,1952.32
10/25/2018,1988.3
10/26/2018,2017.41
10/27/2018,2001.07
10/28/2018,2011
10/29/2018,2020.99
10/30/2018,2009.9
10/31/2018,1992.03
11/1/2018,1977.9
11/2/2018,1964.52
11/3/2018,1985.63
11/4/2018,1994.49
11/5/2018,2000.81
11/6/2018,1973.82
11/7/2018,1943.05
11/8/2018,1912.45
11/9/2018,1898.53
11/10/2018,1866.78
11/11/2018,1855.32
11/12/2018,1823.24
11/13/2018,1765.13
11/14/2018,1787.83
11/15/2018,1793.4
11/16/2018,1832.89
11/17/2018,1807.58
11/18/2018,1784.92
11/19/2018,1824.34
11/20/2018,1762.96
11/21/2018,1776.12
11/22/2018,1792.57
11/23/2018,1816.12
11/24/2018,1801.38
11/25/2018,1823.54
11/26/2018,1805.6
11/27/2018,1749.62
11/28/2018,1768.87
11/29/2018,1761.83
11/30/2018,1764.25
12/1/2018,1786.4
12/2/2018,1776.29
12/3/2018,1789.84
12/4/2018,1800.62
12/5/2018,1840.72
12/6/2018,1833.51
12/7/2018,1831.35
12/8/2018,1820.55
12/9/2018,1822.99
12/10/2018,1843.55
12/11/2018,1839.34
12/12/2018,1807.84
12/13/2018,1822.55
12/14/2018,1817.46
12/15/2018,1821.5
12/16/2018,1794.16
12/17/2018,1785.3
12/18/2018,1741.61
12/19/2018,1768.33
