Date,Close
5/11/2018,107.51
5/12/2018,107.72
5/13/2018,111.96
5/14/2018,111.75
5/15/2018,109.57
5/16/2018,106.87
5/17/2018,106.94
5/18/2018,104.97
5/19/2018,107.28
5/20/2018,108.29
5/21/2018,104.62
5/22/2018,101.71
5/23/2018,103.11
5/24/2018,103.07
5/25/2018,106.47
5/26/2018,107.14
5/27/2018,111.12
5/28/2018,110.19
5/29/2018,110.89
5/30/2018,112.09
5/31/2018,108.52
6/1/2018,109.19
6/2/2018,104.82
6/3/2018,107.59
6/4/2018,108.59
6/5/2018,109.08
6/6/2018,109.45
6/7/2018,106.03
6/8/2018,102.89
6/9/2018,103.97
6/10/2018,103.69
6/11/2018,101.51
6/12/2018,98.23
6/13/2018,94.13
6/14/2018,100.56
6/15/2018,101.18
6/16/2018,100.39
6/17/2018,101.57
6/18/2018,101.12
6/19/2018,97.4
6/20/2018,101.93
6/21/2018,102.06
6/22/2018,102.8
6/23/2018,104.27
6/24/2018,103.6
6/25/2018,102.8
6/26/2018,102.05
6/27/2018,105.01
6/28/2018,105.38
6/29/2018,106.12
6/30/2018,107.71
7/1/2018,105.68
7/2/2018,106.71
7/3/2018,106.2
7/4/2018,107.17
7/5/2018,105.08
7/6/2018,102.94
7/7/2018,106.38
7/8/2018,104.43
7/9/2018,102.78
7/10/2018,105.74
7/11/2018,107.22
7/12/2018,106.03
7/13/2018,105.27
7/14/2018,105.67
7/15/2018,105.25
7/16/2018,106.89
7/17/2018,106.81
7/18/2018,106.9
7/19/2018,108.22
7/20/2018,108.17
7/21/2018,107.15
7/22/2018,109.41
7/23/2018,110.97
7/24/2018,111.59
7/25/2018,112.36
7/26/2018,112.17
7/27/2018,112.03
7/28/2018,112.53
7/29/2018,112.26
7/30/2018,111.7
7/31/2018,111.75
8/1/2018,110.39
8/2/2018,110.51
8/3/2018,112.83
8/4/2018,113.62
8/5/2018,114.5
8/6/2018,114.59
8/7/2018,115.91
8/8/2018,117.57
8/9/2018,117.65
8/10/2018,117.52
8/11/2018,120.22
8/12/2018,117.05
8/13/2018,117.66
8/14/2018,117.91
8/15/2018,116.77
8/16/2018,116.93
8/17/2018,117.94
8/18/2018,119.02
8/19/2018,119.19
8/20/2018,119.97
8/21/2018,119.36
8/22/2018,119.89
8/23/2018,119.93
8/24/2018,119.28
8/25/2018,120.19
8/26/2018,120.33
8/27/2018,120.95
8/28/2018,121.05
8/29/2018,120.77
8/30/2018,121.77
8/31/2018,123.37
9/1/2018,123.76
9/2/2018,125.44
9/3/2018,125.01
9/4/2018,129.15
9/5/2018,129.89
9/6/2018,129.77
9/7/2018,130.6
9/8/2018,127.88
9/9/2018,126.21
9/10/2018,128.9
9/11/2018,128.15
9/12/2018,125.52
9/13/2018,125.51
9/14/2018,125.5
9/15/2018,127.13
9/16/2018,123.35
9/17/2018,124.73
9/18/2018,126.02
9/19/2018,128.93
9/20/2018,128.07
9/21/2018,126.22
9/22/2018,126.9
