Date,Close
3/1/2012 16:00,26.77
4/1/2012 16:00,27.4
5/1/2012 16:00,27.68
6/1/2012 16:00,28.11
9/1/2012 16:00,27.74
10/1/2012 16:00,27.84
11/1/2012 16:00,27.72
12/1/2012 16:00,28
13/01/2012 16:00:00,28.25
17/01/2012 16:00:00,28.26
18/01/2012 16:00:00,28.23
19/01/2012 16:00:00,28.12
20/01/2012 16:00:00,29.71
23/01/2012 16:00:00,29.73
24/01/2012 16:00:00,29.34
25/01/2012 16:00:00,29.56
26/01/2012 16:00:00,29.5
27/01/2012 16:00:00,29.23
30/01/2012 16:00:00,29.61
31/01/2012 16:00:00,29.53
1/2/2012 16:00,29.89
2/2/2012 16:00,29.95
3/2/2012 16:00,30.24
6/2/2012 16:00,30.2
7/2/2012 16:00,30.35
8/2/2012 16:00,30.66
9/2/2012 16:00,30.77
10/2/2012 16:00,30.5
13/02/2012 16:00:00,30.58
14/02/2012 16:00:00,30.25
15/02/2012 16:00:00,30.05
16/02/2012 16:00:00,31.29
17/02/2012 16:00:00,31.25
21/02/2012 16:00:00,31.44
22/02/2012 16:00:00,31.27
23/02/2012 16:00:00,31.37
24/02/2012 16:00:00,31.48
27/02/2012 16:00:00,31.35
28/02/2012 16:00:00,31.87
29/02/2012 16:00:00,31.74
1/3/2012 16:00,32.29
2/3/2012 16:00,32.08
5/3/2012 16:00,31.8
6/3/2012 16:00,31.56
7/3/2012 16:00,31.84
8/3/2012 16:00,32.01
9/3/2012 16:00,31.99
12/3/2012 16:00,32.04
13/03/2012 16:00:00,32.67
14/03/2012 16:00:00,32.77
15/03/2012 16:00:00,32.85
16/03/2012 16:00:00,32.6
19/03/2012 16:00:00,32.2
20/03/2012 16:00:00,31.99
21/03/2012 16:00:00,31.91
22/03/2012 16:00:00,32
23/03/2012 16:00:00,32.01
26/03/2012 16:00:00,32.59
27/03/2012 16:00:00,32.52
28/03/2012 16:00:00,32.19
29/03/2012 16:00:00,32.12
30/03/2012 16:00:00,32.26
2/4/2012 16:00,32.29
3/4/2012 16:00,31.94
4/4/2012 16:00,31.21
5/4/2012 16:00,31.52
9/4/2012 16:00,31.1
10/4/2012 16:00,30.47
11/4/2012 16:00,30.35
12/4/2012 16:00,30.98
13/04/2012 16:00:00,30.81
16/04/2012 16:00:00,31.08
17/04/2012 16:00:00,31.44
18/04/2012 16:00:00,31.14
19/04/2012 16:00:00,31.01
20/04/2012 16:00:00,32.42
23/04/2012 16:00:00,32.12
24/04/2012 16:00:00,31.92
25/04/2012 16:00:00,32.2
26/04/2012 16:00:00,32.11
27/04/2012 16:00:00,31.98
30/04/2012 16:00:00,32.02
1/5/2012 16:00,32.01
2/5/2012 16:00,31.8
3/5/2012 16:00,31.76
4/5/2012 16:00,30.98
7/5/2012 16:00,30.65
8/5/2012 16:00,30.5
9/5/2012 16:00,30.76
10/5/2012 16:00,30.74
11/5/2012 16:00,31.16
14/05/2012 16:00:00,30.68
15/05/2012 16:00:00,30.21
16/05/2012 16:00:00,29.9
17/05/2012 16:00:00,29.72
18/05/2012 16:00:00,29.27
21/05/2012 16:00:00,29.75
22/05/2012 16:00:00,29.76
23/05/2012 16:00:00,29.11
24/05/2012 16:00:00,29.07
25/05/2012 16:00:00,29.06
29/05/2012 16:00:00,29.56
30/05/2012 16:00:00,29.34
31/05/2012 16:00:00,29.19
1/6/2012 16:00,28.45
4/6/2012 16:00,28.55
5/6/2012 16:00,28.51
6/6/2012 16:00,29.35
7/6/2012 16:00,29.23
8/6/2012 16:00,29.65
11/6/2012 16:00,28.9
12/6/2012 16:00,29.29
13/06/2012 16:00:00,29.13
14/06/2012 16:00:00,29.34
15/06/2012 16:00:00,30.02
18/06/2012 16:00:00,29.84
19/06/2012 16:00:00,30.7
20/06/2012 16:00:00,30.93
21/06/2012 16:00:00,30.14
22/06/2012 16:00:00,30.7
25/06/2012 16:00:00,29.87
26/06/2012 16:00:00,30.02
27/06/2012 16:00:00,30.17
28/06/2012 16:00:00,29.91
29/06/2012 16:00:00,30.59
2/7/2012 16:00,30.56
3/7/2012 16:00,30.76
5/7/2012 16:00,30.7
6/7/2012 16:00,30.19
9/7/2012 16:00,30
10/7/2012 16:00,29.74
11/7/2012 16:00,29.3
12/7/2012 16:00,28.63
13/07/2012 16:00:00,29.39
16/07/2012 16:00:00,29.44
17/07/2012 16:00:00,29.66
18/07/2012 16:00:00,30.45
19/07/2012 16:00:00,30.67
20/07/2012 16:00:00,30.12
23/07/2012 16:00:00,29.28
24/07/2012 16:00:00,29.15
25/07/2012 16:00:00,28.83
26/07/2012 16:00:00,29.16
27/07/2012 16:00:00,29.76
30/07/2012 16:00:00,29.64
31/07/2012 16:00:00,29.47
1/8/2012 16:00,29.41
2/8/2012 16:00,29.19
3/8/2012 16:00,29.75
6/8/2012 16:00,29.95
7/8/2012 16:00,30.26
8/8/2012 16:00,30.33
9/8/2012 16:00,30.5
10/8/2012 16:00,30.42
13/08/2012 16:00:00,30.39
14/08/2012 16:00:00,30.13
15/08/2012 16:00:00,30.2
16/08/2012 16:00:00,30.78
17/08/2012 16:00:00,30.9
20/08/2012 16:00:00,30.74
21/08/2012 16:00:00,30.8
22/08/2012 16:00:00,30.54
23/08/2012 16:00:00,30.26
24/08/2012 16:00:00,30.56
27/08/2012 16:00:00,30.69
28/08/2012 16:00:00,30.63
29/08/2012 16:00:00,30.65
30/08/2012 16:00:00,30.32
31/08/2012 16:00:00,30.82
4/9/2012 16:00,30.39
5/9/2012 16:00,30.39
6/9/2012 16:00,31.35
7/9/2012 16:00,30.95
10/9/2012 16:00,30.72
11/9/2012 16:00,30.79
12/9/2012 16:00,30.78
13/09/2012 16:00:00,30.94
14/09/2012 16:00:00,31.21
17/09/2012 16:00:00,31.21
18/09/2012 16:00:00,31.18
19/09/2012 16:00:00,31.05
20/09/2012 16:00:00,31.45
21/09/2012 16:00:00,31.19
24/09/2012 16:00:00,30.78
25/09/2012 16:00:00,30.39
26/09/2012 16:00:00,30.17
27/09/2012 16:00:00,30.16
28/09/2012 16:00:00,29.76
1/10/2012 16:00,29.49
2/10/2012 16:00,29.66
3/10/2012 16:00,29.86
4/10/2012 16:00,30.03
5/10/2012 16:00,29.85
8/10/2012 16:00,29.78
9/10/2012 16:00,29.28
10/10/2012 16:00,28.98
11/10/2012 16:00,28.95
12/10/2012 16:00,29.2
15/10/2012 16:00:00,29.51
16/10/2012 16:00:00,29.49
17/10/2012 16:00:00,29.59
18/10/2012 16:00:00,29.5
19/10/2012 16:00:00,28.64
22/10/2012 16:00:00,28
23/10/2012 16:00:00,28.05
24/10/2012 16:00:00,27.9
25/10/2012 16:00:00,27.88
26/10/2012 16:00:00,28.21
31/10/2012 16:00:00,28.54
1/11/2012 16:00,29.52
2/11/2012 16:00,29.5
5/11/2012 16:00,29.63
6/11/2012 16:00,29.86
7/11/2012 16:00,29.08
8/11/2012 16:00,28.81
9/11/2012 16:00,28.83
12/11/2012 16:00,28.22
13/11/2012 16:00:00,27.09
14/11/2012 16:00:00,26.84
15/11/2012 16:00:00,26.66
16/11/2012 16:00:00,26.52
19/11/2012 16:00:00,26.73
20/11/2012 16:00:00,26.71
21/11/2012 16:00:00,26.95
23/11/2012 16:00:00,27.7
26/11/2012 16:00:00,27.39
27/11/2012 16:00:00,27.08
28/11/2012 16:00:00,27.36
29/11/2012 16:00:00,26.95
30/11/2012 16:00:00,26.62
3/12/2012 16:00,26.43
4/12/2012 16:00,26.37
5/12/2012 16:00,26.67
6/12/2012 16:00,26.73
7/12/2012 16:00,26.46
10/12/2012 16:00,26.94
11/12/2012 16:00,27.32
12/12/2012 16:00,27.24
13/12/2012 16:00:00,27.11
14/12/2012 16:00:00,26.81
17/12/2012 16:00:00,27.1
18/12/2012 16:00:00,27.56
19/12/2012 16:00:00,27.31
20/12/2012 16:00:00,27.68
21/12/2012 16:00:00,27.45
24/12/2012 16:00:00,27.06
26/12/2012 16:00:00,26.86
27/12/2012 16:00:00,26.96
28/12/2012 16:00:00,26.55
31/12/2012 16:00:00,26.71
2/1/2013 16:00,27.62
3/1/2013 16:00,27.25
4/1/2013 16:00,26.74
7/1/2013 16:00,26.69
8/1/2013 16:00,26.55
9/1/2013 16:00,26.7
10/1/2013 16:00,26.46
11/1/2013 16:00,26.83
14/01/2013 16:00:00,26.89
15/01/2013 16:00:00,27.21
16/01/2013 16:00:00,27.04
17/01/2013 16:00:00,27.25
18/01/2013 16:00:00,27.25
22/01/2013 16:00:00,27.15
23/01/2013 16:00:00,27.61
24/01/2013 16:00:00,27.63
25/01/2013 16:00:00,27.88
28/01/2013 16:00:00,27.91
29/01/2013 16:00:00,28.01
30/01/2013 16:00:00,27.85
31/01/2013 16:00:00,27.45
1/2/2013 16:00,27.93
4/2/2013 16:00,27.44
5/2/2013 16:00,27.5
6/2/2013 16:00,27.34
7/2/2013 16:00,27.28
8/2/2013 16:00,27.55
11/2/2013 16:00,27.86
12/2/2013 16:00,27.88
13/02/2013 16:00:00,28.03
14/02/2013 16:00:00,28.04
15/02/2013 16:00:00,28.01
19/02/2013 16:00:00,28.05
20/02/2013 16:00:00,27.87
21/02/2013 16:00:00,27.49
22/02/2013 16:00:00,27.76
25/02/2013 16:00:00,27.37
26/02/2013 16:00:00,27.37
27/02/2013 16:00:00,27.81
28/02/2013 16:00:00,27.8
1/3/2013 16:00,27.95
4/3/2013 16:00,28.15
5/3/2013 16:00,28.35
6/3/2013 16:00,28.09
7/3/2013 16:00,28.14
8/3/2013 16:00,28
11/3/2013 16:00,27.87
12/3/2013 16:00,27.91
13/03/2013 16:00:00,27.92
14/03/2013 16:00:00,28.14
15/03/2013 16:00:00,28.04
18/03/2013 16:00:00,28.1
19/03/2013 16:00:00,28.18
20/03/2013 16:00:00,28.32
21/03/2013 16:00:00,28.11
22/03/2013 16:00:00,28.25
25/03/2013 16:00:00,28.16
26/03/2013 16:00:00,28.16
27/03/2013 16:00:00,28.37
28/03/2013 16:00:00,28.61
1/4/2013 16:00,28.61
2/4/2013 16:00,28.8
3/4/2013 16:00,28.56
4/4/2013 16:00,28.6
5/4/2013 16:00,28.7
8/4/2013 16:00,28.59
9/4/2013 16:00,29.61
10/4/2013 16:00,30.28
11/4/2013 16:00,28.94
12/4/2013 16:00,28.79
15/04/2013 16:00:00,28.69
16/04/2013 16:00:00,28.97
17/04/2013 16:00:00,28.83
18/04/2013 16:00:00,28.79
19/04/2013 16:00:00,29.77
22/04/2013 16:00:00,30.83
23/04/2013 16:00:00,30.6
24/04/2013 16:00:00,31.76
25/04/2013 16:00:00,31.94
26/04/2013 16:00:00,31.79
29/04/2013 16:00:00,32.61
30/04/2013 16:00:00,33.1
1/5/2013 16:00,32.72
2/5/2013 16:00,33.16
3/5/2013 16:00,33.49
6/5/2013 16:00,33.75
7/5/2013 16:00,33.31
8/5/2013 16:00,32.99
9/5/2013 16:00,32.66
10/5/2013 16:00,32.69
13/05/2013 16:00:00,33.03
14/05/2013 16:00:00,33.53
15/05/2013 16:00:00,33.85
16/05/2013 16:00:00,34.08
17/05/2013 16:00:00,34.87
20/05/2013 16:00:00,35.08
21/05/2013 16:00:00,34.85
22/05/2013 16:00:00,34.61
23/05/2013 16:00:00,34.15
24/05/2013 16:00:00,34.27
28/05/2013 16:00:00,35.02
29/05/2013 16:00:00,34.88
30/05/2013 16:00:00,35.03
31/05/2013 16:00:00,34.9
3/6/2013 16:00,35.59
4/6/2013 16:00,34.99
5/6/2013 16:00,34.78
6/6/2013 16:00,34.96
7/6/2013 16:00,35.67
10/6/2013 16:00,35.47
11/6/2013 16:00,34.84
12/6/2013 16:00,35
13/06/2013 16:00:00,34.72
14/06/2013 16:00:00,34.4
17/06/2013 16:00:00,35
18/06/2013 16:00:00,34.98
19/06/2013 16:00:00,34.59
20/06/2013 16:00:00,33.49
21/06/2013 16:00:00,33.27
24/06/2013 16:00:00,33.72
25/06/2013 16:00:00,33.67
26/06/2013 16:00:00,34.35
27/06/2013 16:00:00,34.62
28/06/2013 16:00:00,34.54
1/7/2013 16:00,34.36
2/7/2013 16:00,33.94
3/7/2013 16:00,34.01
5/7/2013 16:00,34.21
8/7/2013 16:00,34.33
9/7/2013 16:00,34.35
10/7/2013 16:00,34.7
11/7/2013 16:00,35.69
12/7/2013 16:00,35.67
15/07/2013 16:00:00,36.17
16/07/2013 16:00:00,36.27
17/07/2013 16:00:00,35.74
18/07/2013 16:00:00,35.44
19/07/2013 16:00:00,31.4
22/07/2013 16:00:00,32.01
23/07/2013 16:00:00,31.82
24/07/2013 16:00:00,31.96
25/07/2013 16:00:00,31.39
26/07/2013 16:00:00,31.62
29/07/2013 16:00:00,31.54
30/07/2013 16:00:00,31.85
31/07/2013 16:00:00,31.84
1/8/2013 16:00,31.67
2/8/2013 16:00,31.89
5/8/2013 16:00,31.7
6/8/2013 16:00,31.58
7/8/2013 16:00,32.06
8/8/2013 16:00,32.89
9/8/2013 16:00,32.7
12/8/2013 16:00,32.87
13/08/2013 16:00:00,32.23
14/08/2013 16:00:00,32.35
15/08/2013 16:00:00,31.79
16/08/2013 16:00:00,31.8
19/08/2013 16:00:00,31.39
20/08/2013 16:00:00,31.62
21/08/2013 16:00:00,31.61
22/08/2013 16:00:00,32.39
23/08/2013 16:00:00,34.75
26/08/2013 16:00:00,34.15
27/08/2013 16:00:00,33.26
28/08/2013 16:00:00,33.02
29/08/2013 16:00:00,33.55
30/08/2013 16:00:00,33.4
3/9/2013 16:00,31.88
4/9/2013 16:00,31.2
5/9/2013 16:00,31.24
6/9/2013 16:00,31.15
9/9/2013 16:00,31.66
10/9/2013 16:00,32.39
11/9/2013 16:00,32.74
12/9/2013 16:00,32.69
13/09/2013 16:00:00,33.03
16/09/2013 16:00:00,32.8
17/09/2013 16:00:00,32.93
18/09/2013 16:00:00,33.32
19/09/2013 16:00:00,33.64
20/09/2013 16:00:00,32.79
23/09/2013 16:00:00,32.74
24/09/2013 16:00:00,32.46
25/09/2013 16:00:00,32.51
26/09/2013 16:00:00,32.77
27/09/2013 16:00:00,33.27
30/09/2013 16:00:00,33.28
1/10/2013 16:00,33.58
2/10/2013 16:00,33.92
3/10/2013 16:00,33.86
4/10/2013 16:00,33.88
7/10/2013 16:00,33.3
8/10/2013 16:00,33.01
9/10/2013 16:00,33.07
10/10/2013 16:00,33.76
11/10/2013 16:00,34.13
14/10/2013 16:00:00,34.45
15/10/2013 16:00:00,34.49
16/10/2013 16:00:00,34.64
17/10/2013 16:00:00,34.92
18/10/2013 16:00:00,34.96
21/10/2013 16:00:00,34.99
22/10/2013 16:00:00,34.58
23/10/2013 16:00:00,33.76
24/10/2013 16:00:00,33.72
25/10/2013 16:00:00,35.73
28/10/2013 16:00:00,35.57
29/10/2013 16:00:00,35.52
30/10/2013 16:00:00,35.54
31/10/2013 16:00:00,35.41
1/11/2013 16:00,35.53
4/11/2013 16:00,35.94
5/11/2013 16:00,36.64
6/11/2013 16:00,38.18
7/11/2013 16:00,37.5
8/11/2013 16:00,37.78
11/11/2013 16:00,37.59
12/11/2013 16:00,37.36
13/11/2013 16:00:00,38.16
14/11/2013 16:00:00,38.02
15/11/2013 16:00:00,37.84
18/11/2013 16:00:00,37.2
19/11/2013 16:00:00,36.74
20/11/2013 16:00:00,37.08
21/11/2013 16:00:00,37.4
22/11/2013 16:00:00,37.57
25/11/2013 16:00:00,37.64
26/11/2013 16:00:00,37.35
27/11/2013 16:00:00,37.6
29/11/2013 16:00:00,38.13
2/12/2013 16:00,38.45
3/12/2013 16:00,38.31
4/12/2013 16:00,38.94
5/12/2013 16:00,38
6/12/2013 16:00,38.36
9/12/2013 16:00,38.71
10/12/2013 16:00,38.11
11/12/2013 16:00,37.61
12/12/2013 16:00,37.22
13/12/2013 16:00:00,36.69
16/12/2013 16:00:00,36.88
17/12/2013 16:00:00,36.52
18/12/2013 16:00:00,36.58
19/12/2013 16:00:00,36.25
20/12/2013 16:00:00,36.8
23/12/2013 16:00:00,36.62
